batch_label, weekday, timestamp, hour_format, decimal_hour, surface_temperature_name, surface_temperature_units, surface_temperature, surface_temperature_calibration, air_temperature_name, air_temperature_units, air_temperature, air_temperature_calibration, relative_humidity_name, relative_humidity_units, relative_humidity, relative_humidity_calibration, air_pressure_name, air_pressure_units, air_pressure, air_pressure_calibration, altitude_uncalibrated_name, altitude_uncalibrated_units, altitude_uncalibrated, altitude_uncalibrated_calibration, visible_spectrum_name, visible_spectrum_wavelength, visible_spectrum_units, visible_spectrum_calibration, V450_wavelength, V450_power, B500_wavelength, B500_power, G550_wavelength, G550_power, Y570_wavelength, Y570_power, O600_wavelength, O600_power, R650_wavelength, R650_power, near_infrared_spectrum_name, near_infrared_spectrum_wavelength, near_infrared_spectrum_units, near_infrared_spectrum_calibration, nir610_wavelength, nir610_power, nir680_wavelength, nir680_power, nir730_wavelength, nir730_power, nir760_wavelength, nir760_power, nir810_wavelength, nir810_power, nir860_wavelength, nir860_power
6,Wednesday,20220824T165723Z,hh.hhhh,16.9564,surface_temperature,C,30.2,1.0,air_temperature,C,24.9,0.3,relative_humidity,%,62,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,36.9,100,visible_spectrum,nm,uW/cm^2,12/100,450,546.0,500,553.7,550,1585.7,570,1019.1,600,890.8,650,379.0,near_infrared_spectrum,nm,uW/cm^2,12/100,610,82.5,680,98.3,730,391.7,760,550.7,810,595.3,860,697.1
6,Wednesday,20220824T165724Z,hh.hhhh,16.9567,surface_temperature,C,30.2,1.0,air_temperature,C,24.9,0.3,relative_humidity,%,60,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,36.6,100,visible_spectrum,nm,uW/cm^2,12/100,450,660.8,500,701.4,550,1387.8,570,1091.0,600,907.7,650,464.2,near_infrared_spectrum,nm,uW/cm^2,12/100,610,102.2,680,129.2,730,516.7,760,708.8,810,734.4,860,876.3
6,Wednesday,20220824T165726Z,hh.hhhh,16.9572,surface_temperature,C,31.6,1.0,air_temperature,C,24.9,0.3,relative_humidity,%,60,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,36.9,100,visible_spectrum,nm,uW/cm^2,12/100,450,1372.6,500,1122.2,550,3352.1,570,2168.0,600,2104.1,650,788.4,near_infrared_spectrum,nm,uW/cm^2,12/100,610,102.2,680,134.6,730,681.3,760,890.1,810,744.6,860,876.3
6,Wednesday,20220824T165727Z,hh.hhhh,16.9575,surface_temperature,C,35.2,1.0,air_temperature,C,25.1,0.3,relative_humidity,%,61,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,36.6,100,visible_spectrum,nm,uW/cm^2,12/100,450,2741.7,500,3440.6,550,5562.0,570,5175.8,600,4455.1,650,3259.7,near_infrared_spectrum,nm,uW/cm^2,12/100,610,266.0,680,404.8,730,1951.3,760,2214.9,810,2218.4,860,1290.1
6,Wednesday,20220824T165728Z,hh.hhhh,16.9578,surface_temperature,C,35.5,1.0,air_temperature,C,25.2,0.3,relative_humidity,%,60,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.3,100,visible_spectrum,nm,uW/cm^2,12/100,450,2807.8,500,3657.1,550,5353.2,570,5200.1,600,4388.7,650,3127.6,near_infrared_spectrum,nm,uW/cm^2,12/100,610,663.3,680,486.0,730,2036.0,760,2290.5,810,2584.8,860,2717.8
6,Wednesday,20220824T165729Z,hh.hhhh,16.958,surface_temperature,C,36.0,1.0,air_temperature,C,25.2,0.3,relative_humidity,%,59,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.3,100,visible_spectrum,nm,uW/cm^2,12/100,450,2848.3,500,3676.8,550,5695.0,570,5367.3,600,4433.3,650,3240.6,near_infrared_spectrum,nm,uW/cm^2,12/100,610,679.6,680,486.0,730,2017.0,760,2243.3,810,2584.8,860,2736.3
6,Wednesday,20220824T165730Z,hh.hhhh,16.9583,surface_temperature,C,35.4,1.0,air_temperature,C,25.3,0.3,relative_humidity,%,59,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.4,100,visible_spectrum,nm,uW/cm^2,12/100,450,2763.7,500,3593.1,550,5269.9,570,5210.3,600,4324.2,650,3149.3,near_infrared_spectrum,nm,uW/cm^2,12/100,610,665.7,680,510.6,730,2013.8,760,2281.9,810,2571.2,860,2751.3
6,Wednesday,20220824T165731Z,hh.hhhh,16.9586,surface_temperature,C,35.4,1.0,air_temperature,C,25.4,0.3,relative_humidity,%,58,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.4,100,visible_spectrum,nm,uW/cm^2,12/100,450,2745.2,500,3578.4,550,5620.4,570,5282.3,600,4473.0,650,3209.3,near_infrared_spectrum,nm,uW/cm^2,12/100,610,665.7,680,510.6,730,2019.4,760,2300.0,810,2591.6,860,2751.3
6,Wednesday,20220824T165732Z,hh.hhhh,16.9589,surface_temperature,C,35.8,1.0,air_temperature,C,25.5,0.3,relative_humidity,%,58,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.1,100,visible_spectrum,nm,uW/cm^2,12/100,450,2804.3,500,3649.8,550,5627.9,570,5337.4,600,4417.4,650,3205.0,near_infrared_spectrum,nm,uW/cm^2,12/100,610,669.1,680,509.5,730,2011.5,760,2302.5,810,2583.1,860,2774.4
6,Wednesday,20220824T165734Z,hh.hhhh,16.9594,surface_temperature,C,36.2,1.0,air_temperature,C,25.5,0.3,relative_humidity,%,59,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.5,100,visible_spectrum,nm,uW/cm^2,12/100,450,2818.2,500,3665.8,550,5675.5,570,5347.6,600,4486.9,650,3353.6,near_infrared_spectrum,nm,uW/cm^2,12/100,610,676.1,680,509.5,730,2009.1,760,2289.7,810,2583.1,860,2758.3
6,Wednesday,20220824T165735Z,hh.hhhh,16.9597,surface_temperature,C,36.6,1.0,air_temperature,C,25.5,0.3,relative_humidity,%,59,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.1,100,visible_spectrum,nm,uW/cm^2,12/100,450,2827.5,500,3652.2,550,5605.2,570,5344.8,600,4463.1,650,3312.7,near_infrared_spectrum,nm,uW/cm^2,12/100,610,701.7,680,520.2,730,2018.6,760,2282.8,810,2580.5,860,2777.9
7,Wednesday,20220824T165748Z,hh.hhhh,16.9633,surface_temperature,C,38.0,1.0,air_temperature,C,26.1,0.3,relative_humidity,%,58,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.5,100,visible_spectrum,nm,uW/cm^2,12/100,450,2930.7,500,3846.6,550,5603.1,570,5467.2,600,4561.3,650,3344.0,near_infrared_spectrum,nm,uW/cm^2,12/100,610,702.8,680,575.7,730,2043.1,760,2200.3,810,2553.4,860,2676.2
7,Wednesday,20220824T165750Z,hh.hhhh,16.9639,surface_temperature,C,38.0,1.0,air_temperature,C,26.2,0.3,relative_humidity,%,58,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.7,100,visible_spectrum,nm,uW/cm^2,12/100,450,2900.5,500,3814.6,550,5567.4,570,5426.1,600,4533.5,650,3345.8,near_infrared_spectrum,nm,uW/cm^2,12/100,610,714.4,680,575.7,730,2070.0,760,2199.4,810,2548.3,860,2694.7
7,Wednesday,20220824T165751Z,hh.hhhh,16.9642,surface_temperature,C,37.9,1.0,air_temperature,C,26.2,0.3,relative_humidity,%,57,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.6,100,visible_spectrum,nm,uW/cm^2,12/100,450,2901.7,500,3822.0,550,5571.7,570,5429.8,600,4527.5,650,3346.6,near_infrared_spectrum,nm,uW/cm^2,12/100,610,709.8,680,575.7,730,2068.4,760,2199.4,810,2548.3,860,2685.4
7,Wednesday,20220824T165752Z,hh.hhhh,16.9644,surface_temperature,C,37.8,1.0,air_temperature,C,26.2,0.3,relative_humidity,%,57,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.7,100,visible_spectrum,nm,uW/cm^2,12/100,450,2908.6,500,3833.1,550,5572.8,570,5438.2,600,4534.5,650,3346.6,near_infrared_spectrum,nm,uW/cm^2,12/100,610,711.0,680,574.7,730,2084.3,760,2203.7,810,2547.5,860,2688.9
7,Wednesday,20220824T165753Z,hh.hhhh,16.9647,surface_temperature,C,37.9,1.0,air_temperature,C,26.3,0.3,relative_humidity,%,58,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.6,100,visible_spectrum,nm,uW/cm^2,12/100,450,2942.2,500,3831.9,550,5578.2,570,5418.6,600,4562.3,650,3383.2,near_infrared_spectrum,nm,uW/cm^2,12/100,610,719.1,680,578.9,730,2135.7,760,2226.1,810,2558.5,860,2694.7
7,Wednesday,20220824T165754Z,hh.hhhh,16.965,surface_temperature,C,37.2,1.0,air_temperature,C,26.4,0.3,relative_humidity,%,59,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.6,100,visible_spectrum,nm,uW/cm^2,12/100,450,2773.0,500,3676.8,550,5420.3,570,5216.9,600,4225.0,650,3283.2,near_infrared_spectrum,nm,uW/cm^2,12/100,610,719.1,680,556.5,730,2150.7,760,2237.2,810,2496.6,860,2694.7
7,Wednesday,20220824T165755Z,hh.hhhh,16.9653,surface_temperature,C,37.5,1.0,air_temperature,C,26.4,0.3,relative_humidity,%,60,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.7,100,visible_spectrum,nm,uW/cm^2,12/100,450,2907.5,500,3845.4,550,5695.0,570,5475.6,600,4395.6,650,3339.7,near_infrared_spectrum,nm,uW/cm^2,12/100,610,680.8,680,566.1,730,2333.5,760,2470.9,810,2683.1,860,2602.2
7,Wednesday,20220824T165757Z,hh.hhhh,16.9658,surface_temperature,C,37.7,1.0,air_temperature,C,26.5,0.3,relative_humidity,%,60,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.4,100,visible_spectrum,nm,uW/cm^2,12/100,450,2873.8,500,3801.1,550,5616.0,570,5397.1,600,4390.6,650,3346.6,near_infrared_spectrum,nm,uW/cm^2,12/100,610,711.0,680,575.7,730,2298.7,760,2409.9,810,2636.5,860,2648.4
7,Wednesday,20220824T165758Z,hh.hhhh,16.9661,surface_temperature,C,37.5,1.0,air_temperature,C,26.5,0.3,relative_humidity,%,59,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.4,100,visible_spectrum,nm,uW/cm^2,12/100,450,2858.8,500,3803.6,550,5566.3,570,5347.6,600,4420.4,650,3353.6,near_infrared_spectrum,nm,uW/cm^2,12/100,610,700.5,680,575.7,730,2246.5,760,2331.8,810,2636.5,860,2612.6
7,Wednesday,20220824T165759Z,hh.hhhh,16.9664,surface_temperature,C,37.2,1.0,air_temperature,C,26.5,0.3,relative_humidity,%,59,3,air_pressure,hPa,1009,1,altitude_uncalibrated,m,37.5,100,visible_spectrum,nm,uW/cm^2,12/100,450,2768.4,500,3683.0,550,5462.5,570,5179.5,600,4271.6,650,3333.6,near_infrared_spectrum,nm,uW/cm^2,12/100,610,686.6,680,571.5,730,2089.0,760,2207.2,810,2532.2,860,2639.2
