wavelength,V450_power,B500_power,G550_power,Y570_power,O600_power,R650_power
724,7.54E-03,2.51E-03,5.97E-03,7.53E-03,4.37E-03,3.75E-03
726,8.57E-03,2.20E-03,6.63E-03,7.53E-03,4.37E-03,4.17E-03
728,8.57E-03,2.20E-03,7.30E-03,7.19E-03,4.00E-03,4.17E-03
730,8.23E-03,2.20E-03,7.30E-03,6.51E-03,4.00E-03,4.59E-03
732,7.54E-03,2.20E-03,6.63E-03,5.82E-03,4.00E-03,5.00E-03
734,7.20E-03,2.51E-03,5.97E-03,5.14E-03,4.37E-03,5.00E-03
736,6.17E-03,2.51E-03,4.98E-03,4.79E-03,4.73E-03,4.59E-03
738,5.49E-03,2.51E-03,4.31E-03,4.79E-03,5.46E-03,4.17E-03
740,4.80E-03,2.51E-03,4.31E-03,4.45E-03,5.82E-03,4.17E-03
742,4.46E-03,2.83E-03,4.64E-03,4.79E-03,6.55E-03,3.75E-03
744,4.80E-03,2.83E-03,4.98E-03,4.79E-03,6.55E-03,4.17E-03
746,5.14E-03,3.14E-03,5.31E-03,4.45E-03,6.91E-03,4.17E-03
748,5.49E-03,3.46E-03,5.64E-03,4.11E-03,6.91E-03,4.17E-03
750,5.83E-03,3.77E-03,5.97E-03,4.11E-03,7.64E-03,4.17E-03
752,5.83E-03,4.40E-03,6.30E-03,3.77E-03,8.37E-03,3.75E-03
754,5.49E-03,4.71E-03,6.30E-03,3.77E-03,8.73E-03,3.75E-03
756,5.14E-03,4.71E-03,6.63E-03,3.77E-03,9.09E-03,3.75E-03
758,5.49E-03,5.03E-03,6.97E-03,4.11E-03,9.09E-03,3.75E-03
760,6.17E-03,5.03E-03,7.96E-03,4.79E-03,9.09E-03,3.75E-03
762,7.89E-03,5.34E-03,8.62E-03,5.82E-03,8.73E-03,4.59E-03
764,9.26E-03,5.34E-03,9.29E-03,6.16E-03,8.73E-03,5.42E-03
766,9.94E-03,5.65E-03,8.62E-03,6.16E-03,8.37E-03,5.42E-03
768,9.26E-03,5.03E-03,7.30E-03,5.14E-03,7.64E-03,5.42E-03
770,8.57E-03,4.71E-03,5.64E-03,4.11E-03,6.91E-03,5.00E-03
772,7.89E-03,4.40E-03,4.64E-03,3.77E-03,6.55E-03,4.59E-03
774,7.89E-03,4.08E-03,3.98E-03,3.42E-03,6.18E-03,4.59E-03
776,7.89E-03,3.77E-03,3.32E-03,3.77E-03,5.82E-03,4.17E-03
778,7.54E-03,3.46E-03,2.99E-03,3.77E-03,5.09E-03,3.75E-03
780,6.51E-03,3.14E-03,2.65E-03,4.11E-03,4.37E-03,3.75E-03
782,5.49E-03,2.83E-03,2.65E-03,4.11E-03,3.64E-03,3.75E-03
784,4.46E-03,2.83E-03,2.99E-03,4.45E-03,2.91E-03,3.75E-03
786,3.77E-03,2.83E-03,3.32E-03,4.45E-03,2.55E-03,3.75E-03
788,3.77E-03,2.83E-03,3.98E-03,4.79E-03,2.91E-03,3.34E-03
790,4.11E-03,3.14E-03,4.64E-03,4.79E-03,2.91E-03,3.34E-03
792,4.11E-03,3.14E-03,4.98E-03,5.14E-03,3.27E-03,2.92E-03
794,4.11E-03,3.14E-03,4.98E-03,5.14E-03,3.64E-03,2.92E-03
796,3.77E-03,3.14E-03,4.64E-03,5.14E-03,4.00E-03,2.92E-03
798,3.43E-03,3.14E-03,3.98E-03,5.14E-03,4.37E-03,2.92E-03
800,3.43E-03,3.14E-03,3.65E-03,5.14E-03,4.37E-03,2.92E-03
802,3.09E-03,3.14E-03,3.32E-03,4.79E-03,4.00E-03,3.34E-03
804,3.09E-03,3.46E-03,3.32E-03,4.79E-03,4.00E-03,3.34E-03
806,3.43E-03,3.77E-03,3.32E-03,4.45E-03,3.64E-03,3.75E-03
808,3.43E-03,4.08E-03,3.65E-03,4.11E-03,4.00E-03,3.75E-03
810,3.77E-03,4.71E-03,3.65E-03,3.77E-03,4.37E-03,3.75E-03
812,3.77E-03,5.65E-03,3.65E-03,3.77E-03,5.46E-03,3.75E-03
814,3.77E-03,6.91E-03,3.65E-03,3.77E-03,6.55E-03,3.75E-03
816,4.11E-03,8.48E-03,4.31E-03,4.11E-03,8.73E-03,3.75E-03
818,6.17E-03,1.13E-02,6.63E-03,6.16E-03,1.42E-02,5.00E-03
820,1.06E-02,1.60E-02,1.16E-02,1.10E-02,2.26E-02,7.51E-03
822,1.68E-02,2.10E-02,1.82E-02,1.78E-02,3.13E-02,1.13E-02
824,2.19E-02,2.39E-02,2.39E-02,2.33E-02,3.49E-02,1.38E-02
826,2.30E-02,2.29E-02,2.59E-02,2.53E-02,3.17E-02,1.42E-02
828,2.19E-02,2.04E-02,2.52E-02,2.50E-02,2.55E-02,1.33E-02
830,1.78E-02,1.60E-02,2.22E-02,2.33E-02,1.78E-02,1.17E-02
832,1.44E-02,1.35E-02,1.92E-02,2.19E-02,1.27E-02,1.04E-02
834,1.13E-02,1.16E-02,1.69E-02,2.12E-02,1.06E-02,1.00E-02
836,9.26E-03,1.01E-02,1.39E-02,1.92E-02,9.09E-03,9.17E-03
838,7.89E-03,8.48E-03,1.13E-02,1.58E-02,8.00E-03,8.34E-03
840,6.51E-03,6.91E-03,8.29E-03,1.20E-02,6.55E-03,6.67E-03
842,5.49E-03,5.34E-03,6.30E-03,8.56E-03,5.46E-03,5.42E-03
844,4.46E-03,4.40E-03,4.98E-03,6.16E-03,4.37E-03,4.17E-03
846,3.43E-03,3.77E-03,4.31E-03,4.79E-03,3.64E-03,3.34E-03
848,2.74E-03,3.46E-03,3.32E-03,3.77E-03,2.55E-03,2.50E-03
850,2.06E-03,3.46E-03,2.99E-03,3.08E-03,2.18E-03,2.50E-03
852,2.06E-03,3.46E-03,2.65E-03,2.40E-03,1.82E-03,2.09E-03
854,1.71E-03,3.77E-03,2.32E-03,2.05E-03,1.82E-03,2.09E-03
856,1.71E-03,4.08E-03,1.99E-03,1.71E-03,1.82E-03,2.09E-03
858,2.06E-03,4.40E-03,1.99E-03,1.71E-03,2.18E-03,1.67E-03
860,2.40E-03,4.71E-03,1.99E-03,1.37E-03,2.55E-03,1.67E-03
862,2.74E-03,4.71E-03,1.99E-03,1.71E-03,2.91E-03,1.67E-03
864,3.09E-03,5.03E-03,2.32E-03,1.71E-03,4.00E-03,1.67E-03
866,3.77E-03,5.03E-03,2.65E-03,1.71E-03,5.09E-03,1.67E-03
868,4.11E-03,4.71E-03,3.65E-03,2.05E-03,6.18E-03,2.09E-03
870,4.11E-03,4.71E-03,4.64E-03,2.40E-03,6.91E-03,2.09E-03
872,4.46E-03,4.40E-03,5.97E-03,3.08E-03,7.64E-03,2.50E-03
874,5.14E-03,4.71E-03,8.29E-03,3.42E-03,7.64E-03,3.34E-03
876,7.20E-03,6.60E-03,1.43E-02,5.48E-03,9.09E-03,5.42E-03
878,1.10E-02,1.01E-02,2.42E-02,8.56E-03,1.27E-02,9.17E-03
880,1.54E-02,1.38E-02,3.48E-02,1.16E-02,1.71E-02,1.29E-02
882,1.85E-02,1.63E-02,4.15E-02,1.37E-02,2.00E-02,1.59E-02
884,1.82E-02,1.60E-02,3.95E-02,1.30E-02,1.96E-02,1.59E-02
886,1.44E-02,1.35E-02,2.99E-02,1.03E-02,1.64E-02,1.29E-02
888,1.06E-02,1.07E-02,1.99E-02,7.53E-03,1.27E-02,9.59E-03
890,8.23E-03,9.11E-03,1.23E-02,6.16E-03,9.82E-03,7.51E-03
892,7.89E-03,9.42E-03,9.29E-03,6.16E-03,8.73E-03,7.09E-03
894,8.57E-03,1.04E-02,7.96E-03,6.85E-03,8.37E-03,7.51E-03
896,9.26E-03,1.07E-02,7.30E-03,7.19E-03,8.00E-03,7.51E-03
898,8.91E-03,9.42E-03,6.30E-03,6.85E-03,6.91E-03,6.67E-03
900,1.03E-02,8.48E-03,5.64E-03,7.19E-03,6.18E-03,6.67E-03
902,1.23E-02,7.54E-03,5.64E-03,7.87E-03,6.55E-03,7.09E-03
904,1.58E-02,7.54E-03,6.30E-03,9.24E-03,7.28E-03,7.92E-03
906,1.68E-02,6.60E-03,5.97E-03,9.24E-03,7.28E-03,7.51E-03
908,1.71E-02,5.34E-03,5.31E-03,8.56E-03,6.55E-03,6.67E-03
910,1.99E-02,4.71E-03,4.98E-03,8.90E-03,6.55E-03,6.26E-03
912,2.88E-02,5.34E-03,6.63E-03,1.27E-02,9.09E-03,7.92E-03
914,3.87E-02,7.22E-03,8.96E-03,1.75E-02,1.20E-02,1.04E-02
916,4.39E-02,8.79E-03,1.06E-02,2.09E-02,1.46E-02,1.25E-02
918,3.77E-02,8.48E-03,9.95E-03,2.02E-02,1.38E-02,1.17E-02
920,2.78E-02,7.22E-03,8.29E-03,1.75E-02,1.16E-02,9.59E-03
922,1.58E-02,5.65E-03,6.30E-03,1.30E-02,8.37E-03,7.09E-03
924,8.91E-03,4.71E-03,4.64E-03,9.59E-03,6.18E-03,5.00E-03
926,5.83E-03,4.40E-03,3.98E-03,7.87E-03,4.73E-03,3.75E-03
928,4.80E-03,4.40E-03,3.32E-03,6.85E-03,4.00E-03,3.34E-03
930,4.11E-03,4.71E-03,3.32E-03,6.51E-03,3.27E-03,2.92E-03
932,4.11E-03,5.03E-03,3.65E-03,6.51E-03,3.27E-03,2.92E-03
934,4.80E-03,5.97E-03,3.98E-03,7.19E-03,3.27E-03,3.34E-03
936,5.49E-03,6.91E-03,4.98E-03,8.22E-03,3.27E-03,3.34E-03
938,6.17E-03,7.54E-03,5.97E-03,8.90E-03,3.64E-03,3.75E-03
940,6.51E-03,7.85E-03,6.63E-03,9.93E-03,3.64E-03,4.17E-03
942,6.51E-03,7.22E-03,7.30E-03,9.93E-03,4.00E-03,4.17E-03
944,6.86E-03,6.91E-03,7.96E-03,1.03E-02,4.00E-03,4.17E-03
946,6.86E-03,6.28E-03,8.62E-03,1.06E-02,4.00E-03,4.17E-03
948,7.20E-03,5.97E-03,9.62E-03,1.10E-02,4.37E-03,4.59E-03
950,7.20E-03,5.65E-03,1.03E-02,1.10E-02,4.73E-03,4.59E-03
952,6.86E-03,5.34E-03,1.03E-02,1.06E-02,4.73E-03,4.17E-03
954,6.17E-03,4.71E-03,9.62E-03,9.59E-03,4.37E-03,3.75E-03
956,5.83E-03,4.08E-03,8.96E-03,8.56E-03,4.37E-03,3.34E-03
958,5.14E-03,3.46E-03,8.29E-03,7.53E-03,4.00E-03,2.92E-03
960,4.80E-03,3.14E-03,7.63E-03,6.85E-03,4.00E-03,2.92E-03
962,4.46E-03,3.14E-03,7.30E-03,6.51E-03,4.37E-03,2.92E-03
964,4.80E-03,3.46E-03,6.63E-03,6.51E-03,4.37E-03,2.92E-03
966,5.83E-03,3.77E-03,6.63E-03,6.16E-03,4.73E-03,2.92E-03
968,6.86E-03,4.40E-03,6.30E-03,6.16E-03,5.09E-03,3.34E-03
970,8.57E-03,4.71E-03,5.64E-03,6.16E-03,5.09E-03,3.34E-03
972,1.13E-02,5.34E-03,5.31E-03,6.16E-03,4.73E-03,3.75E-03
974,1.68E-02,6.91E-03,5.64E-03,7.19E-03,5.09E-03,4.59E-03
976,2.40E-02,9.42E-03,6.30E-03,8.90E-03,5.82E-03,5.42E-03
978,2.95E-02,1.13E-02,6.97E-03,1.03E-02,6.18E-03,6.67E-03
980,2.88E-02,1.10E-02,6.97E-03,1.03E-02,5.82E-03,6.67E-03
982,2.13E-02,8.79E-03,5.31E-03,8.22E-03,4.73E-03,5.42E-03
984,1.30E-02,6.28E-03,3.98E-03,6.16E-03,3.27E-03,4.17E-03
986,7.20E-03,4.71E-03,3.32E-03,5.48E-03,2.91E-03,3.75E-03
988,6.86E-03,5.34E-03,3.98E-03,6.85E-03,3.27E-03,4.59E-03
990,8.57E-03,6.60E-03,5.31E-03,9.24E-03,4.73E-03,6.26E-03
992,9.60E-03,7.22E-03,6.30E-03,1.06E-02,5.46E-03,6.67E-03
994,8.91E-03,6.60E-03,5.64E-03,1.03E-02,5.09E-03,6.26E-03
996,6.86E-03,5.03E-03,4.64E-03,8.22E-03,4.37E-03,5.00E-03
998,4.80E-03,3.46E-03,3.32E-03,6.16E-03,3.27E-03,3.75E-03
1000,3.43E-03,2.51E-03,2.32E-03,4.45E-03,2.55E-03,2.50E-03
1002,3.09E-03,2.20E-03,1.99E-03,4.11E-03,2.55E-03,2.09E-03
1004,2.74E-03,1.88E-03,1.99E-03,3.77E-03,2.55E-03,2.09E-03
1006,2.74E-03,1.88E-03,1.99E-03,3.77E-03,2.91E-03,2.09E-03
1008,2.74E-03,2.20E-03,1.99E-03,4.45E-03,3.27E-03,2.09E-03
1010,2.74E-03,2.20E-03,1.99E-03,4.45E-03,3.64E-03,2.50E-03
1012,2.74E-03,2.51E-03,1.99E-03,4.45E-03,4.00E-03,2.50E-03
1014,2.74E-03,2.51E-03,1.99E-03,4.11E-03,3.64E-03,2.09E-03
1016,2.40E-03,2.20E-03,1.66E-03,3.42E-03,2.91E-03,1.67E-03
1018,2.06E-03,1.88E-03,1.33E-03,2.74E-03,2.55E-03,1.67E-03
1020,1.71E-03,1.57E-03,9.95E-04,2.05E-03,1.82E-03,1.25E-03
1022,1.37E-03,1.57E-03,9.95E-04,1.71E-03,1.46E-03,8.34E-04
1024,1.37E-03,1.26E-03,6.63E-04,1.37E-03,1.09E-03,8.34E-04
1026,1.03E-03,1.26E-03,6.63E-04,1.37E-03,7.28E-04,8.34E-04
1028,1.03E-03,9.42E-04,6.63E-04,1.03E-03,7.28E-04,8.34E-04
1030,1.03E-03,9.42E-04,6.63E-04,1.03E-03,7.28E-04,8.34E-04
1032,1.03E-03,9.42E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1034,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1036,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1038,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,4.17E-04
1040,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1042,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1044,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1046,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1048,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1050,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1052,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1054,1.03E-03,6.28E-04,6.63E-04,1.03E-03,3.64E-04,8.34E-04
1056,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,8.34E-04
1058,1.03E-03,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1060,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1062,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1064,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1066,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1068,6.86E-04,3.14E-04,3.32E-04,6.85E-04,3.64E-04,4.17E-04
1070,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1072,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1074,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1076,6.86E-04,3.14E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1078,6.86E-04,6.28E-04,6.63E-04,6.85E-04,3.64E-04,4.17E-04
1080,1.03E-03,6.28E-04,9.95E-04,6.85E-04,3.64E-04,8.34E-04
1082,1.03E-03,6.28E-04,9.95E-04,1.03E-03,3.64E-04,8.34E-04
1084,1.03E-03,6.28E-04,9.95E-04,1.03E-03,3.64E-04,8.34E-04
1086,1.03E-03,6.28E-04,9.95E-04,1.03E-03,3.64E-04,8.34E-04
1088,1.03E-03,6.28E-04,9.95E-04,6.85E-04,3.64E-04,8.34E-04
1090,1.03E-03,6.28E-04,1.33E-03,6.85E-04,3.64E-04,8.34E-04
1092,1.03E-03,6.28E-04,1.33E-03,6.85E-04,3.64E-04,8.34E-04
1094,6.86E-04,6.28E-04,1.33E-03,6.85E-04,0.00E+00,8.34E-04
1096,6.86E-04,6.28E-04,1.33E-03,6.85E-04,0.00E+00,8.34E-04
1098,6.86E-04,6.28E-04,1.66E-03,6.85E-04,0.00E+00,8.34E-04
1100,1.03E-03,6.28E-04,1.99E-03,6.85E-04,0.00E+00,8.34E-04